id_venta,id_cliente,monto
1,74303,1459.41
2,61152,2349.94
3,99903,3895.49
4,31588,3365.71
5,80434,2652.75
6,62079,4561.42
7,119897,1477.63
8,8392,5012.4
9,116360,784.09
10,95515,4066.99
11,53811,4064.24
12,81527,156.55
13,44689,3646.35
14,99913,258.45
15,89754,4615.44
16,86594,1967.13
17,1927,4458.32
18,75685,2339.94
19,9045,4660.78
20,100671,2073.1
21,57760,98.59
22,87729,4734.59
23,64963,3998.95
24,107166,4144.55
25,88569,4130.9
26,37177,514.84
27,20785,1065.65
28,28608,123.66
29,84898,3860.9
30,98106,4837.0
31,90664,1005.38
32,24713,1860.65
33,95964,1519.54
34,68367,2943.49
35,93821,3862.86
36,103559,3608.08
37,19964,1412.1
38,54602,3859.37
39,19431,2090.26
40,88397,482.13
41,31687,744.04
42,59948,1445.49
43,92845,468.1
44,89133,5021.89
45,68357,659.5
46,97910,4779.24
47,104731,5029.44
48,119536,845.61
49,16560,2987.24
50,107185,4973.03
51,10040,3527.26
52,103976,983.12
53,71939,867.25
54,58173,2414.58
55,32985,3953.14
56,112211,2196.26
57,86225,101.11
58,54790,3986.27
59,6610,387.41
60,66526,1889.44
61,62925,1203.26
62,76223,382.95
63,106479,3441.89
64,11882,419.39
65,92558,4089.22
66,21024,1618.78
67,7522,2600.09
68,21272,446.55
69,56018,4096.21
70,106540,5031.32
71,94927,4520.59
72,52993,283.79
73,8108,4723.86
74,38232,2074.31
75,73296,3865.18
76,84034,4867.85
77,61971,4515.19
78,109390,1451.74
79,70423,634.92
80,5997,3163.5
81,25943,3633.67
82,81988,2797.76
83,34910,2205.3
84,94847,3204.25
85,35362,4410.0
86,59116,909.15
87,49665,4503.59
88,34934,3540.94
89,6792,3745.69
90,38329,565.08
91,4260,4029.4
92,81693,4080.68
93,74940,2749.42
94,84063,2060.17
95,24541,3039.21
96,37640,4644.41
97,29058,1070.26
98,43506,4174.07
99,50946,2018.58
100,41423,1347.63
101,109207,2062.58
102,25851,4163.6
103,67448,2509.14
104,10366,3131.34
105,75529,1773.25
106,1361,4864.85
107,10147,2612.85
108,76433,206.67
109,54004,2990.77
110,2147,4797.91
111,31551,419.56
112,33408,163.73
113,101223,2758.64
114,81801,4442.41
115,57558,551.03
116,49234,2441.55
117,111233,3888.53
118,113865,2382.3
119,98943,2493.55
120,61424,3892.53
121,60866,3423.91
122,43169,3844.47
123,3913,728.39
124,89847,1920.27
125,30505,1940.97
126,95586,1226.76
