id_venta,fecha,id_cliente,pais,sucursal,producto,categoria,cantidad,precio_unitario,canal,metodo_pago
1,2025-08-14,38854,Honduras,Sucursal-2,SSD 1TB,Almacenamiento,8,709.77,App,Transferencia
2,2026-03-22,63219,Honduras,Sucursal-18,SSD 1TB,Almacenamiento,7,710.93,Web,PayPal
3,2025-10-26,8686,El Salvador,Sucursal-29,Laptop Pro 14,Computadoras,5,9331.44,App,Transferencia
4,2025-06-30,391,Estados Unidos,Sucursal-5,Router WiFi 6,Redes,2,739.78,Web,Tarjeta
5,2025-07-30,35707,Estados Unidos,Sucursal-2,USB 64GB,Almacenamiento,6,64.17,Tienda,PayPal
6,2025-12-21,118111,Estados Unidos,Sucursal-19,Teclado Mecanico,Accesorios,7,448.32,Marketplace,PayPal
7,2025-08-16,22605,Guatemala,Sucursal-19,Router WiFi 6,Redes,4,835.22,App,Tarjeta
8,2025-07-26,114587,Guatemala,Sucursal-14,Teclado Mecanico,Accesorios,3,476.88,Tienda,Tarjeta
9,2025-02-11,110754,El Salvador,Sucursal-9,Impresora Laser,Impresion,2,1433.27,Marketplace,PayPal
10,2026-05-08,96258,Honduras,Sucursal-1,USB 64GB,Almacenamiento,6,87.72,Marketplace,Efectivo
11,2025-10-14,99682,Honduras,Sucursal-20,Mouse Gamer X,Accesorios,6,193.25,Tienda,Transferencia
12,2026-02-15,56061,Guatemala,Sucursal-25,SSD 1TB,Almacenamiento,6,750.49,Tienda,Tarjeta
13,2025-10-13,11633,Guatemala,Sucursal-8,Laptop Pro 14,Computadoras,2,7989.85,Web,Tarjeta
14,2025-09-12,60889,Mexico,Sucursal-2,Mouse Gamer X,Accesorios,6,176.14,Web,Tarjeta
15,2025-03-31,63128,Estados Unidos,Sucursal-3,Impresora Laser,Impresion,3,1481.9,Marketplace,Transferencia
16,2026-02-18,69672,Mexico,Sucursal-9,Monitor 24,Monitores,7,1161.76,Web,Transferencia
17,2025-02-28,93196,Honduras,Sucursal-3,Monitor 24,Monitores,6,1476.32,Tienda,PayPal
18,2025-02-23,66172,El Salvador,Sucursal-15,Mouse Gamer X,Accesorios,5,171.86,Tienda,Transferencia
19,2025-12-19,36029,Guatemala,Sucursal-13,Laptop Pro 14,Computadoras,6,9705.17,Tienda,Tarjeta
20,2026-01-23,33102,El Salvador,Sucursal-27,Silla Ergonomica,Muebles,3,1553.18,Tienda,Transferencia
21,2025-02-23,84460,Honduras,Sucursal-10,SSD 1TB,Almacenamiento,4,706.93,Marketplace,Tarjeta
22,2026-03-26,4093,Estados Unidos,Sucursal-30,Laptop Pro 14,Computadoras,8,8269.54,Marketplace,Efectivo
23,2025-05-24,27386,Honduras,Sucursal-27,Silla Ergonomica,Muebles,5,1534.52,Web,Efectivo
24,2025-11-15,119780,Guatemala,Sucursal-22,USB 64GB,Almacenamiento,7,81.04,Marketplace,Transferencia
25,2025-04-02,28223,Mexico,Sucursal-1,Monitor 24,Monitores,6,1145.53,Tienda,Transferencia
26,2026-03-28,112897,El Salvador,Sucursal-17,Audifonos BT,Audio,2,340.14,App,Tarjeta
27,2025-09-20,52753,Mexico,Sucursal-6,Impresora Laser,Impresion,1,1428.36,App,Tarjeta
